source,source_player_id,canonical_player_name,latest_observed_player_name,latest_source_team_id,latest_team_name,latest_position_code,latest_position_group,first_seen_match_datetime,last_seen_match_datetime,is_active,created_at,updated_at
opta,10fhneu2ag3zslmot65er6x9l,F. Pierrot,F. Pierrot,1lbrlj3uu8wi2h9j79snuoae4,Çaykur Rize Spor Kulübü,FW,FORWARD,2026-02-08 14:00:00+00,2026-04-05 11:30:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,10k53pv13mw9hzllv70umgzbp,Ricardo Esgaio,Ricardo Esgaio,c3txoz57mu7w9y1jprvnv2flr,Fatih Karagümrük Spor Kulübü,DF,DEFENDER,2025-09-13 14:00:00+00,2026-04-05 11:30:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,115kqbrlwsdlm1zj2sm6pcems,Jeh,Jeh,cjbaf8s09qoa1n11r33gc560x,Göztepe Spor Kulübü,FW,FORWARD,2026-01-19 17:00:00+00,2026-04-04 11:30:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,11yvtl61fyjjf25axacc0874k,A. Özyar,A. Özyar,b703zecenioz21dnj3p63v3f7,Kocaelispor Kulübü,FW,FORWARD,2026-03-18 13:00:00+00,2026-03-18 13:00:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,127eg3g8ig8j7obxtyc2tl8t1,Marco Asensio,Marco Asensio,8lroq0cbhdxj8124qtxwrhvmm,Fenerbahçe Spor Kulübü,MF,MIDFIELDER,2025-09-14 16:00:00+00,2026-04-05 17:00:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,13u1ebeq6nonh7jdr6ao85obu,I. Olawoyin,I. Olawoyin,1lbrlj3uu8wi2h9j79snuoae4,Çaykur Rize Spor Kulübü,MF,MIDFIELDER,2025-08-10 16:00:00+00,2026-04-05 11:30:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,14nuyldakmj4f1v9l5f5bn4lw,M. Doh,M. Doh,c3txoz57mu7w9y1jprvnv2flr,Fatih Karagümrük Spor Kulübü,MF,MIDFIELDER,2025-08-15 18:30:00+00,2026-01-24 17:00:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,15314dwczroogrc6esysv2tt6,B. Balcı,B. Balcı,9irsyv431fpuqhqtfq9iwxf2u,Antalyaspor Kulübü,DF,DEFENDER,2025-08-09 18:30:00+00,2026-04-05 14:00:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,159bje4liab466flpkxqkg06h,M. Şengezer,M. Şengezer,47njg6cmlx5q3fvdsupd2n6qu,İstanbul Başakşehir Futbol Kulübü,GK,GOALKEEPER,2025-08-17 18:30:00+00,2026-04-06 17:00:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,16l7395yh2w7bphsec4j6hu51,B. Ndiaye,B. Ndiaye,2agzb2h4ppg7lfz9hn7eg1rqo,Gaziantep Futbol Kulübü,MF,MIDFIELDER,2025-08-08 18:30:00+00,2025-12-08 17:00:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,18erl236l4wkr60tk0gtdwc2c,T. Kalpaklı,T. Kalpaklı,c3txoz57mu7w9y1jprvnv2flr,Fatih Karagümrük Spor Kulübü,FW,FORWARD,2025-08-15 18:30:00+00,2026-01-24 17:00:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,1aacx08rr4w1bl4estl46mas4,E. Ceesay,E. Ceesay,dpsnqu7pd2b0shfzjyn5j1znf,Samsunspor Kulübü,MF,MIDFIELDER,2025-08-09 16:00:00+00,2025-08-09 16:00:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,1abvuy5ueuj0kkapnxqpnfx7t,D. Agyei,D. Agyei,b703zecenioz21dnj3p63v3f7,Kocaelispor Kulübü,FW,FORWARD,2025-08-11 18:30:00+00,2026-04-06 17:00:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,1bs4vwqye00mn2oaxrvfkkt7t,M. Lis,M. Lis,cjbaf8s09qoa1n11r33gc560x,Göztepe Spor Kulübü,GK,GOALKEEPER,2025-08-10 16:00:00+00,2026-04-04 11:30:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,1burdmmtt0xlp4i0yx1nmux1x,D. Popa,D. Popa,embqktr41hfzczc8uav1scmcn,Gençlerbirliği Spor Kulübü,FW,FORWARD,2025-08-09 16:00:00+00,2025-08-09 16:00:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,1c9edgqsq6j7jlzku2qamu8k5,M. Rashica,M. Rashica,2ez9cvam9lp9jyhng3eh3znb4,Beşiktaş Jimnastik Kulübü,MF,MIDFIELDER,2025-08-17 18:30:00+00,2026-04-05 17:00:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,1czk5wkuu6ahu3ytu2or8276d,Q. Laçi,Q. Laçi,1lbrlj3uu8wi2h9j79snuoae4,Çaykur Rize Spor Kulübü,MF,MIDFIELDER,2025-08-10 16:00:00+00,2026-04-05 11:30:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,1dzj2btdw0w4tm59kfbauqrys,Y. Çift,Y. Çift,dpsnqu7pd2b0shfzjyn5j1znf,Samsunspor Kulübü,DF,DEFENDER,2025-08-16 16:00:00+00,2026-03-08 17:00:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
opta,1em5b7wuaxjmtse5v5yukggr9,T. Bingöl,T. Bingöl,b703zecenioz21dnj3p63v3f7,Kocaelispor Kulübü,FW,FORWARD,2025-08-23 18:30:00+00,2026-04-06 17:00:00+00,t,2026-04-06 23:26:10.235521+00,2026-04-06 23:26:10.235521+00
